Title,Href,Keywords,Period keywords,Ship keywords,Description,,
Starship Exeter,http://www.starshipexeter.com/,live action,TOS,USS Exeter,"The starship _Exeter_ (NCC-1706), captained by John Q. Garrovik (played by James Culhane). The first episode, ‘The Savage Empire’ came out in 2003. The second, ‘The Tressaurian Intersection’ was released in five parts from 2004 to 2014.",,
Starship Intrepid,http://www.starshipintrepid.net/,live action,TNG,USS Intrepid; SS Ariadne,"The USS _Intrepid_ is assigned to protect the new colony world in the Charybdis sector. So far they have released two main episodes and a couple of vingettes, *and* they have co-produced cross-over movies with the Hidden Frontier crew, _Orphans of War_ and _Star Trek: Operation Beta Shield_.",,
Star Trek: Aurora,http://www.auroratrek.com/,animated,TOS,Aurora; Lone Star,"_Star Trek: Aurora_ follows the exploits of captain Kara Carpenter and her new (and only) Vulcan first mate T'Ling on their tiny merchanter cargo ship _Aurora_. This fully CG-animated movie is set just after the original _Star Trek_ series in a lawless sector of space, where Kara and T'Ling engage in their marginal venture while trying to both turn a profit and stay out of trouble, but even in the vastness of space, trouble is never far away...",,
Starship Farragut,http://starshipfarragut.com/,live action,TOS,USS Farragut,"Based on the original series of _Star Trek_ featuring the crew of the U.S.S. _Farragut_, a _Constitution_-class Starship (NCC-1647) commanded by Captain John T. Carter, and takes place during the time of Captain James T. Kirk of the Starship _Enterprise_ (NCC-1701). ",,
Sharship Farragut: The Animated Episodes,http://farragutanimated.com,animated,TOS,USS Farragut,"An animated series in the style of the _Star Trek_ Animated Series, featuring the crew of the U.S.S. _Farragut_, a _Constitution_-class Starship (NCC-1647) commanded by Captain John T. Carter, and takes place during the time of Captain James T. Kirk of the Starship _Enterprise_ (NCC-1701). ",,
Star Trek: Hidden Frontier,http://www.hiddenfrontier.com/episodes/indexhf.php,Hidden Frontier; live action,TNG,USS Excelsior; USS Helena,"Set in the aftermath of the Dominion War and _Star Trek: Insurrection_, this series concentrates on Deep Space 12, a starbase in the Briar Patch. Production is based in Los Angeles, California. Fifty episodes were released from 2000 to 2007. It combined increasingly embitious CGI space battles with action filmed against green screen in the producer’s spare bedroom. Minor characters from the _TNG_ and _DS9_, such as Elisabeth Selby and Robin Lefler, appear as major characters in this series. It also has the first same-sex romance subplot in filmed _Trek_ fan fiction.",,
Star Trek: Odyssey,http://www.hiddenfrontier.com/episodes/indexody.php,Hidden Frontier; live action,TNG,USS Odyssey,"This is a spin-off from the _Hidden Frontier_ series. The USS _Odyssey_ is stranded in the Andromeda Galaxy after a daring mission to destroy the warphole generator through which the Archein fleet is invading the Romulan Empire. With the senior officers dead, it is left to science officer Ro Nevin and Romulan observer T'Lorra to command the ship and try to find a way home.",,
Star Trek: The Helena Chronicles,http://www.hiddenfrontier.com/episodes/indexhc.php,Hidden Frontier; live action,TNG,USS Helena,"Witness the exploits of the USS _Helena_, now under the command of Captain Theresa Faisal, and exploring the newly revealed territory after the conclusion of the _Hidden Frontier_ series. This series was produced in parallel with _Star Trek: Odyssey_, and involves their search for a way to recreate the slipstream drive that enables intergalactic travel so they can rescue the _Odyssey_.",,
"Henglaar, MD",http://hiddenfrontier.com/episodes/indexhmd.php,Hidden Frontier; audio,TNG,USS Cole,Doctor Henglaar is the grumpy Tellarite medic from the USS _Excelsior_ in the _Hidden Frontier_ series. Now he gets his own  audio series.,,
Star Trek: Lost Frontier,http://www.darkerprojects.com/lostfrontier.php,Darker Projects; audio,TNG,USS Enterprise-F,_Star Trek: Lost Frontier_ is a look at a dark time in the future of _Star Trek_. It is the dawn of the 25th century and the galaxy is coming-out of a period of great war. The story of _Lost Frontier_ focuses on the crew of the new _Enterprise_ F as they go forth to unite the lost worlds of the Federation.,,
Star Trek Continues,http://www.startrekcontinues.com,live action,TOS,USS Enterprise,"What happens when you throw a rag-tag team of entertainment professionals, who also happen to be HUGE Star Trek fans, together? Vic Mignogna and team are proud to be part of Star Trek history with the fan production aimed at completing the final two years of the original 5-year mission.",,
Star Trek: Phase II,http://www.startreknewvoyages.com,live action,TOS,USS Enterprise,"Originally named Star Trek: New Voyages. Continuing the five-year mission, with James Crawley playing James T. Kirk and George Takei and Walter Koenig appearing as guest stars in two episodes. With recent episodes they have started incorporating design elements bridging the transition between TOS and The Motion Picture.",,
